salesperson,role,territory,required_lead_count,map_required,notes
Shahzaib,telesales,RM11,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM12,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM13,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM14,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM15,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM16,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM17,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM18,0,false,campaign-008-shahzaib-full-allocation
Shahzaib,telesales,RM19,0,false,campaign-008-shahzaib-full-allocation
