salesperson,role,territory,required_lead_count,map_required,notes
Kunz,telesales,CM0,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM2,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM3,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM4,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM5,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM6,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM7,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM8,0,false,campaign-003-kunz-full-allocation
Kunz,telesales,CM9,0,false,campaign-003-kunz-full-allocation
