salesperson,role,territory,required_lead_count,map_required,notes
Ayesha,field_sales,EN4,0,false,campaign-017-ayesha-field-sales-allocation
Ayesha,field_sales,EN5,0,false,campaign-017-ayesha-field-sales-allocation
Ayesha,field_sales,EN6,0,false,campaign-017-ayesha-field-sales-allocation
Ayesha,field_sales,EN7,0,false,campaign-017-ayesha-field-sales-allocation
Ayesha,field_sales,EN8,0,false,campaign-017-ayesha-field-sales-allocation
Ayesha,field_sales,EN9,0,false,campaign-017-ayesha-field-sales-allocation
