salesperson,role,territory,required_lead_count,map_required,notes
Saif,telesales,RM2,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM3,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM4,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM5,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM6,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM7,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM8,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM9,0,false,campaign-007-saif-full-allocation
Saif,telesales,RM10,0,false,campaign-007-saif-full-allocation
