salesperson,role,territory,required_lead_count,map_required,notes
Wajahat,telesales,DA9,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA10,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA11,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA12,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA13,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA14,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA15,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA16,0,false,campaign-010-wajahat-full-allocation
Wajahat,telesales,DA17,0,false,campaign-010-wajahat-full-allocation
