salesperson,role,territory,required_lead_count,map_required,notes
Tahira,telesales,DA2,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA3,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA4,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA5,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA6,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA7,0,false,campaign-009-tahira-full-allocation
Tahira,telesales,DA8,0,false,campaign-009-tahira-full-allocation
